taxa,GBSv4names,WGStaxa,GDDDaystoSilk,GDDDaystoTassel,TasselLength,MainSpikeLength,TasselPrimaryBranches,TasselBranchLength,SpikeletsMainSpike,SpikeletsPrimaryBranch,SecondaryBranchNumber,EarHeight,LeafLength,LeafWidth,UpperLeafAngle,MiddleLeafAngle,CobDiameter,CobWeight,EarDiameter,EarLength,SeedSetLength,EarRowNumber,EarWeight,EarRankNumber,KernelWeight20
33-16,33-16:250039809,282set_33-16,464.5636928,942.0237318,33.70355194,336.8921185,5.42956631,1.148353725,1.241709392,1.209903713,175.3574911,142.520537,66.18661509,603.0556902,-0.082036948,-0.160794662,59.88552541,10.02737355,0.170657193,21.83245335,-0.000463298,29.30230728,114.9582878,83.83289747,0.704055729
38-11,38-11:250040073,282set_38-11Goodman-Buckler,466.2839808,958.98097,12.49824849,344.5948092,5.425655571,0.444963881,0.289958108,0.363362341,187.1119033,144.8707114,89.38107411,764.0978944,-0.192663368,-0.012549151,57.64420063,11.66374114,0.169381292,20.53442374,-0.145974864,30.93996359,137.3965556,98.05691497,0.592243688
4226,4226:250040088,282set_4226,425.8010639,838.8506774,20.00310457,318.9344454,5.398767826,0.388463777,2.305948859,2.057985905,163.0052873,143.1275647,75.39843914,658.5520206,0.118311285,-0.636524971,60.52700482,10.50878105,0.170376849,21.34764257,-0.157335519,32.37993766,127.0280315,94.82106033,-0.643521618
4722,4722:250040158,282set_4722,457.8763001,957.9341142,33.07480739,342.9235194,5.385472294,0.467929692,-0.133203695,0.416432265,181.7214509,143.8746276,76.25451883,674.990625,0.376175522,-0.393351599,57.16133287,10.46406499,0.169904282,20.5253205,0.243805803,28.11067246,124.977379,87.07053413,-0.944257439
A188,A188:250040019,282set_A188,364.131618,753.5061872,12.41891504,333.3307199,5.431115304,1.188027084,1.482130265,0.489774858,149.6766679,109.5097345,39.15773218,547.3649353,-1.111130629,-0.746161832,59.91546757,10.61236438,0.17151594,19.25209184,-0.736441585,29.79259853,117.6883387,79.97629975,-0.760158723
A214N,A214N:250040084,282set_A214NGoodman-Buckler,469.9334292,1010.916312,-5.120227639,287.2623055,5.386011664,-0.660542778,-0.767444611,-0.221349411,172.4865998,138.6485624,73.27345251,623.5048349,-0.460613784,0.254467416,60.36016007,9.775245191,0.170124124,19.59934344,-0.856120563,26.91993686,123.6656379,83.24122141,-0.745792088
A239,A239:250039755,282set_A239,427.3755003,831.6719434,6.928872452,324.4531718,5.487094413,-1.096597727,-0.892529303,-1.034266531,169.85674,114.9881957,51.42820776,586.9580961,-0.755662019,-0.427127199,61.9564326,9.460434078,0.169656082,20.2355751,-0.622961676,28.81240967,112.1047357,84.15264568,-0.716906733
A441-5,A441-5:250040026,282set_A441-5,475.9182745,959.6934087,30.49820056,254.2906473,5.18248633,0.59606792,1.14807593,0.497450123,140.5778483,107.6727652,54.58997203,665.0372062,0.72791403,-0.308063969,60.96620752,10.08808232,0.169697207,20.60400994,-0.504815774,27.60762196,104.9085856,81.73141414,-1.332274727
A554,A554:250039788,282set_A554,386.8767831,737.2262741,8.507901396,274.310711,5.234380795,-0.215024021,0.58884346,-0.198731823,152.3068849,107.9493348,48.14739256,519.1566292,-1.384490859,-0.724227861,57.52676909,11.15230136,0.169410038,19.89468222,-0.99362022,28.82208518,102.5990133,75.0422743,-0.76189446
A556,A556:250040185,282set_A556,404.6519206,768.3659857,-2.928510554,282.3223009,5.383268421,-0.782209089,-0.059089019,-1.150486261,166.3505557,98.80183306,45.43564992,550.9448802,-0.624704371,-0.474333063,61.79251523,9.443073763,0.170336696,19.96228356,-0.232473883,26.79513337,109.3467686,81.7871902,-0.736583557
A6,A6:250040034,282set_A6,507.4938107,1055.701091,41.99578825,331.7207959,5.311984424,1.316564501,0.838206519,1.39319222,166.6369191,159.3139273,99.4266679,726.2692662,0.248686763,0.318839309,58.91775292,10.35943855,0.169128362,22.19139987,-0.290918366,28.7606684,108.3341475,78.97934592,-0.166556514
A619,A619:250039765,282set_A619,424.8358805,826.0872282,17.48909163,284.4347362,5.34663133,-0.372404455,0.147984463,-0.582199159,156.6905797,128.6843488,51.99892756,528.6678593,-0.19476444,-0.391649759,59.60542224,10.28910846,0.169840908,22.91879154,0.733538654,33.61648054,133.5336408,93.65859687,-0.536870535
A632,A632:250039775,282set_A632,427.3334197,816.9918825,20.94111096,270.3700104,5.329691542,-0.513510739,-0.142576785,-0.568078791,168.3550996,134.1031798,78.04200616,605.4084682,-1.107805596,-0.734832952,59.79483097,10.62490972,0.169550477,19.48233648,-0.630229638,27.18319736,109.875764,80.01059824,-0.501911836
A634,A634:250040129,282set_A634,422.8170009,815.0811792,18.88175763,247.4431056,5.177227244,-1.204549362,-1.199293416,-1.161893585,167.1888766,127.9372859,68.5498016,619.2247814,-1.064734819,-1.007036287,59.46598287,11.41961589,0.170221191,20.41983564,-0.424328763,30.40738158,113.6561625,83.62639135,-0.380134628
A635,A635:250040198,282set_A635,440.5905315,871.5544638,41.27258082,282.6825011,5.417157097,-0.18931676,-0.283004968,-0.342230112,145.7116204,96.06260246,45.72100982,571.7937788,-1.485389603,-1.12028987,61.777034,10.00259533,0.170041911,20.01114506,-1.083736724,26.92614539,103.5696716,77.10503523,-0.392051726
