GBS.V4names,TAXA,GBS.V3names,LegacySNPsSimulatedPhenotypeNames,WGSnames,FAKEPHENO
4226:250040088,4226,4226:8042MABXX:3:A12,X4226,282set_4226,1
4722:250040158,4722,4722:8042MABXX:4:H4,X4722,282set_4722,1
33-16:250039809,33-16,3316:8042MABXX:2:H8,X33.16,282set_33-16,1
38-11:250040073,38-11,3811:8042MABXX:3:B10,X38.11,282set_38-11Goodman-Buckler,1
A188:250040019,A188,A188:8042MABXX:3:D3,A188,282set_A188,1
A214N:250040084,A214N,A214N:8042MABXX:3:E11,A214N,282set_A214NGoodman-Buckler,1
A239:250039755,A239,A239:8042MABXX:2:B2,A239,282set_A239,1
A272:250039779,A272,A272:8042MABXX:2:B5,A272,A272,1
A441-5:250040026,A441-5,A4415:8042MABXX:3:C4,A441.5,282set_A441-5,1
A554:250039788,A554,A554:8042MABXX:2:C6,A554,282set_A554,1
A556:250040185,A556,A556:8042MABXX:4:C8,A556,282set_A556,1
A6:250040034,A6,A6:8042MABXX:3:C5,A6,282set_A6,1
A619:250039765,A619,A619:8042MABXX:2:D3,A619,282set_A619,1
A632:250039775,A632,A632:8042MABXX:2:F4,A632,282set_A632,1
A634:250040129,A634,A634:8042MABXX:4:C1,A634,282set_A634,1
A635:250040198,A635,A635:8042MABXX:4:H9,A635,282set_A635,1
A641:250040046,A641,A641:8042MABXX:3:G6,A641,282set_A641,1
A654:250039834,A654,A654:8042MABXX:2:A12,A654,282set_A654,1
A659:250039829,A659,A659:8042MABXX:2:D11,A659,282set_A659,1
A661:250040149,A661,A661:8042MABXX:4:G3,A661,282set_A661,1
A679:250040001,A679,A679:8042MABXX:3:B1,A679,282set_A679,1
A680:250039756,A680,A680:8042MABXX:2:C2,A680,282set_A680,1
A682:250039782,A682,A682:8042MABXX:2:E5,A682,282set_A682,1
Ab28A:250040159,AB28A,Ab28A:8042MABXX:4:A5,AB28A,282set_Ab28A,1
